 deskeast,, desknorth,, deskwest,, desksouth,, flooreast,, floornorth,, floorwest,,floorsouth,
left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor
419,590,419,590,416,591,421,589,338,517,377,543,355,515,321,436
419,590,419,590,416,591,420,589,338,517,377,543,355,515,321,436
419,590,419,594,412,594,420,589,338,517,379,543,355,515,321,436
419,590,417,592,410,592,419,588,337,516,377,542,355,514,320,435
419,591,417,592,410,592,419,589,337,516,377,541,355,514,319,434
419,590,417,592,410,591,419,589,337,516,377,541,355,514,320,434
419,589,417,592,409,593,419,589,337,515,377,541,355,513,320,434
419,590,417,592,410,591,419,589,336,515,377,541,355,514,320,434
419,590,416,591,410,591,419,588,336,515,376,541,355,514,320,434
419,590,417,592,410,591,419,588,336,516,377,541,355,514,319,434
419,590,416,592,409,591,419,588,337,515,376,541,355,513,319,432
419,590,416,591,409,591,419,588,337,514,377,541,354,514,319,434
420,590,417,591,409,591,419,588,336,515,377,541,354,514,319,433
419,590,416,591,409,591,420,588,337,515,377,541,354,513,320,434
419,590,416,591,409,590,420,588,337,515,377,541,355,514,319,434
419,590,416,591,410,592,419,588,337,516,377,541,354,513,319,433
419,590,416,591,409,591,419,589,336,515,377,540,354,514,319,434
419,590,416,591,409,591,419,589,336,515,376,540,354,514,319,433
419,590,416,591,409,591,419,588,336,515,377,541,354,516,319,433
419,590,416,591,409,591,419,588,336,515,377,540,354,514,319,434
419,590,417,591,409,591,419,588,336,514,377,541,354,514,319,433
419,590,416,591,409,591,419,588,336,515,376,541,355,514,319,433
419,590,416,591,409,591,420,588,336,515,376,540,354,513,319,434
419,590,416,591,409,591,419,589,336,515,377,540,355,514,319,434
419,590,417,591,409,591,419,588,336,515,377,541,354,514,319,433
419,590,416,591,409,590,420,588,336,515,377,540,355,514,319,433
420,590,417,591,409,591,419,588,336,515,377,540,354,514,319,433
419,590,416,591,409,591,419,588,336,514,376,540,354,514,318,433
419,591,416,591,409,591,419,588,336,514,376,540,354,513,319,433
419,590,416,591,409,591,419,588,336,514,377,540,354,514,319,433
419,590,416,591,409,591,419,588,336,515,376,540,354,514,319,433
419,590,416,591,409,591,419,588,336,515,377,541,354,514,319,433
419,589,416,591,409,591,419,588,336,515,376,541,354,513,319,433
420,590,415,591,409,591,419,588,336,515,377,541,354,513,319,433
419,590,416,591,409,590,419,588,336,514,376,540,354,513,319,433
419,590,416,591,409,591,419,588,336,514,377,540,354,513,319,433
419,590,416,591,409,591,419,588,336,514,376,540,354,514,319,433
419,590,416,591,409,591,419,588,336,514,376,541,354,513,319,433
419,590,416,591,410,591,419,588,336,514,376,541,354,513,319,433
419,590,416,592,409,591,419,588,336,514,377,541,354,514,319,433
419,590,416,591,409,591,419,588,336,514,376,540,356,514,319,433
419,590,416,591,409,591,419,588,336,515,377,541,354,513,319,433
419,590,416,591,409,591,419,588,336,515,376,540,354,513,319,434
419,590,416,591,410,590,419,588,336,515,376,541,354,513,319,433
419,590,416,591,409,591,419,588,337,516,377,541,354,513,319,433
419,591,416,591,409,591,419,588,336,515,377,540,354,513,321,435
419,590,416,591,409,591,419,588,336,514,376,540,354,513,319,433
419,590,416,591,409,591,419,588,336,514,377,540,354,516,319,433
419,590,416,591,409,591,419,589,337,515,376,541,354,513,319,433
419,589,416,591,409,590,419,590,336,515,376,540,354,513,319,434
419,590,416,591,409,590,419,588,336,515,377,541,354,513,319,432
419,590,416,591,409,591,419,588,336,515,377,541,354,513,319,433
419,590,416,591,409,590,419,588,336,515,376,540,354,513,318,436
419,590,416,591,409,590,418,587,336,515,376,540,354,513,319,433
419,590,416,591,409,590,419,588,337,514,377,541,354,513,319,433
419,590,416,591,409,590,419,588,336,515,376,540,354,514,319,434
419,590,416,591,409,590,419,589,336,514,377,541,354,513,318,433
419,591,416,591,408,590,418,588,336,514,376,540,354,514,319,433
419,590,416,591,409,591,419,588,336,515,376,540,354,513,319,433
419,589,416,590,409,591,419,588,336,515,376,540,355,514,319,433
419,590,416,591,409,591,419,588,336,514,376,541,354,513,319,433
419,590,416,591,409,590,419,588,336,514,377,540,354,513,319,432
419,590,416,591,409,590,419,588,336,515,377,540,354,513,318,433
419,590,416,591,409,590,418,588,336,515,376,540,354,513,319,433
419,590,416,591,409,591,418,588,336,514,376,540,354,513,319,433
419,590,416,591,409,590,419,588,336,514,376,540,354,513,319,433
419,590,416,590,409,590,418,588,336,515,377,540,354,514,319,433
419,590,416,591,409,590,419,588,336,515,377,540,354,513,319,432
419,590,416,591,409,592,419,588,336,514,377,540,357,513,319,433
419,590,416,591,409,591,419,588,336,515,376,540,354,513,319,433
419,589,416,591,409,591,419,588,336,515,376,540,354,513,319,432
419,590,417,591,409,590,419,588,336,515,377,540,355,513,318,433
419,590,416,591,409,590,419,588,337,514,376,540,354,513,319,433
419,590,416,591,409,590,419,588,336,515,377,540,354,513,321,433
419,590,416,591,409,590,419,588,336,513,376,540,354,513,319,433
419,590,416,591,409,590,419,588,336,515,376,540,354,514,319,434
419,590,416,591,409,589,419,588,336,515,376,540,355,513,319,433
419,589,416,591,409,590,419,588,336,515,376,540,354,513,319,433
419,590,415,591,409,590,419,593,336,515,376,540,354,513,319,433
419,590,416,591,409,591,419,588,336,514,376,540,354,514,319,433
418,589,416,591,409,590,419,588,336,514,376,541,354,513,319,434
419,589,416,591,409,590,419,588,336,514,376,540,355,514,318,433
419,590,416,591,409,590,419,588,336,515,376,541,354,513,318,433
419,591,416,591,409,590,419,588,336,514,377,539,354,513,319,433
419,590,416,591,409,590,419,588,336,515,376,540,354,513,319,433
419,590,416,590,409,590,419,588,336,514,376,540,354,513,319,433
419,591,416,590,409,590,419,588,337,515,376,540,354,513,319,433
419,590,416,591,409,590,419,588,336,515,376,540,354,514,319,433
419,590,416,591,409,590,419,588,336,514,377,540,354,513,319,433
419,591,415,591,411,591,419,588,336,514,376,540,354,513,319,434
419,590,416,591,409,590,419,588,336,514,377,540,354,514,319,433
419,590,416,591,409,590,419,588,336,514,376,540,354,513,319,433
419,590,416,591,409,590,417,587,337,514,377,541,354,513,319,433
419,589,416,591,409,590,419,588,336,515,376,540,354,515,319,433
419,590,415,591,409,590,419,588,336,515,376,540,354,513,319,433
419,589,416,591,409,590,419,588,336,514,376,540,354,513,319,433
419,590,416,591,410,591,419,588,336,514,376,541,354,513,319,433
419,590,416,591,409,590,419,588,336,515,376,540,354,513,319,433
419,590,415,591,409,590,419,588,336,514,376,540,354,513,319,436
419,590,415,591,409,590,422,588,336,515,376,540,354,513,320,433
