11cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cm,1429,1428,1428,1424,1427,1429,1428,1428,1424,1426,1424,1424,1436,1432,1427,1428,1428,1423,1427,1425,1423,1424,1427,1425,1426,1427,1429,1426,1426,1425,1424,1421,1421,1431,1427,1424,1424,1423,1425,1424,1425,1421,1419,1426,1420,1425,1425,1420,1414,1417,1416,1417,1414,1419,1417,1415,1415,1418,1417,1415,1415,1414,1413,1417,1419,1418,1420,1416,1419,1423,1422,1422,1420,1419,1428,1427,1425,1427,1426,1422,1423,1423,1420,1421,1426,1424,1426,1426,1424,1427,1420,1423,1421,1424,1427,1425,1426,1426,1427,1422
8cm,1790,1749,1790,1749,1747,1745,1749,1739,1744,1750,1751,1747,1748,1745,1744,1745,1745,1742,1738,1738,1749,1752,1748,1749,1750,1743,1746,1745,1740,1743,1748,1748,1746,1746,1747,1746,1739,1741,1738,1740,1744,1747,1745,1748,1745,1744,1743,1747,1743,1740,1748,1750,1746,1747,1747,1747,1746,1745,1745,1742,1741,1749,1745,1749,1749,1743,1745,1746,1745,1739,1738,1738,1750,1746,1744,1747,1747,1745,1743,1742,1741,1741,1750,1745,1747,1745,1742,1746,1745,1747,1742,1740,1751,1747,1749,1748,1745,1745,1744,1745
7cm,2052,2031,2052,2031,2023,2027,2033,2032,2034,2032,2033,2028,2031,2029,2027,2022,2033,2031,2031,2027,2031,2028,2028,2029,2027,2028,2034,2034,2033,2033,2031,2030,2028,2027,2026,2024,2032,2031,2031,2026,2029,2030,2027,2026,2028,2024,2022,2032,2033,2032,2029,2031,2027,2030,2028,2023,2023,2033,2033,2031,2031,2032,2028,2030,2030,2025,2023,2034,2032,2033,2028,2032,2029,2034,2028,2026,2025,2034,2029,2031,2031,2031,2026,2030,2031,2025,2027,2033,2035,2030,2031,2031,2027,2027,2028,2031,2024,2025,2034,2037
6cm,2037,2324,2320,2319,2318,2318,2316,2319,2316,2315,2313,2310,2319,2318,2318,2315,2320,2319,2318,2316,2312,2311,2321,2321,2324,2320,2319,2320,2316,2318,2319,2314,2314,2320,2318,2317,2324,2318,2314,2321,2314,2312,2312,2321,2318,2320,2316,2317,2316,2316,2316,2315,2318,2323,2319,2320,2320,2319,2317,2317,2315,2316,2314,2321,2321,2319,2318,2320,2318,2317,2316,2312,2312,2319,2317,2316,2317,2318,2316,2314,2320,2312,2312,2313,2320,2319,2319,2319,2316,2316,2315,2317,2313,2313,2325,2321,2318,2319,2318,2314
5cm,2314,2314,2645,2639,2640,2640,2641,2636,2636,2641,2642,2641,2645,2639,2642,2639,2639,2639,2637,2642,2641,2639,2641,2642,2644,2646,2639,2636,2636,2642,2643,2647,2643,2642,2638,2642,2639,2639,2640,2647,2642,2642,2643,2641,2641,2640,2641,2638,2638,2645,2642,2641,2643,2641,2643,2642,2638,2639,2639,2636,2640,2643,2640,2643,2639,2639,2640,2639,2637,2636,2640,2641,2648,2642,2641,2639,2638,2640,2638,2638,2645,2641,2639,2643,2643,2641,2640,2641,2641,2638,2642,2642,2641,2645,2642,2640,2640,2640,2637,2637
4cm,3014,3018,3020,3014,3018,3020,3016,3019,3020,3016,3014,3014,3014,3008,3008,3015,3019,3018,3017,3016,3020,3020,3017,3020,3014,3009,3018,3020,3017,3018,3017,3017,3017,3008,3020,3017,3021,3020,3020,3020,3019,3018,3017,3017,3019,3008,3019,3018,3020,3008,3017,3017,3019,3008,3017,3009,3018,3019,3020,3017,3019,3009,3018,3018,3015,3009,3019,3021,3021,3019,3019,3014,3017,3013,3019,3016,3014,3020,3019,3020,3018,3018,3018,3017,3018,3017,3009,3020,3020,3020,3018,3020,3019,3018,3018,3013,3018,3020,3008,3020
3cm,3518,3523,3518,3518,3523,3518,3518,3517,3516,3517,3517,3515,3521,3520,3520,3518,3519,3519,3515,3515,3518,3514,3516,3515,3518,3524,3515,3516,3517,3515,3516,3517,3519,3517,3517,3517,3519,3519,3522,3516,3518,3516,3521,3514,3519,3523,3518,3523,3518,3517,3515,3516,3519,3515,3518,3517,3518,3518,3516,3515,3517,3516,3516,3520,3517,3518,3516,3517,3520,3517,3514,3518,3517,3517,3514,3517,3523,3521,3517,3516,3516,3518,3514,3514,3514,3521,3523,3519,3516,3517,3519,3517,3517,3520,3515,3517,3517,3520,3518,3518
2cm,4190,4184,4183,4184,4183,4186,4186,4184,4184,4185,4184,4183,4186,4184,4186,4188,4185,4184,4184,4185,4184,4186,4188,4185,4185,4185,4187,4187,4184,4185,4186,4182,4186,4186,4184,4185,4184,4186,4180,4184,4185,4184,4185,4183,4185,4188,4184,4184,4183,4180,4186,4182,4181,4186,4184,4184,4184,4185,4179,4185,4185,4185,4186,4186,4183,4185,4187,4185,4182,4184,4184,4184,4180,4186,4185,4186,4183,4184,4184,4185,4187,4185,4185,4186,4184,4184,4184,4184,4179,4184,4185,4188,4185,4184,4185,4184,4188,4184,4187,4185
1cm,4339,4339,4339,4336,4338,4339,4339,4339,4337,4338,4340,4339,4340,4341,4339,4338,4337,4339,4337,4339,4338,4337,4340,4347,4338,4337,4338,4339,4336,4338,4340,4339,4338,4338,4338,4337,4335,4339,4337,4337,4340,4337,4338,4340,4338,4337,4340,4340,4343,4336,4336,4337,4339,4338,4337,4337,4335,4337,4340,4344,4337,4338,4339,4338,4344,4338,4338,4340,4338,4339,4337,4342,4339,4337,4340,4338,4340,4339,4337,4338,4340,4339,4338,4341,4338,4338,4339,4339,4335,4337,4337,4339,4339,4338,4339,4337,4337,4337,4338,4338
0cm,4338,4338,4366,4368,4368,4368,4368,4366,4366,4366,4367,4365,4367,4365,4365,4365,4365,4367,4367,4368,4366,4366,4364,4370,4365,4365,4367,4367,4366,4366,4367,4365,4365,4365,4365,4366,4368,4366,4366,4366,4366,4367,4365,4365,4367,4364,4367,4368,4367,4368,4367,4362,4366,4367,4366,4366,4367,4367,4369,4370,4366,4366,4366,4372,4369,4365,4365,4367,4366,4369,4370,4369,4368,4364,4366,4364,4365,4368,4364,4369,4367,4367,4368,4369,4363,4368,4365,4367,4367,4367,4369,4367,4367,4367,4365,4367,4369,4366,4368,4369
