 foileast,, foilnorth,, foilwest,, foilsouth,
left sensor,right sensor,left sensor,right sensor,left sensor,right sensor,left sensor,right sensor
929,946,932,946,935,948,931,949
932,948,932,946,935,948,931,949
931,948,937,951,934,950,938,946
931,947,938,951,934,951,938,946
931,947,936,950,933,950,937,945
932,947,937,950,932,950,937,946
932,948,936,950,932,948,937,945
932,948,936,950,934,950,938,944
931,948,936,949,932,949,937,946
931,948,936,949,932,949,937,945
932,947,936,949,931,949,936,946
931,947,935,949,931,949,936,945
931,947,936,949,932,949,937,945
932,948,935,949,931,949,937,944
932,947,935,948,932,948,938,945
931,947,936,948,932,949,936,945
932,948,936,949,932,949,937,944
932,947,935,950,932,949,936,944
932,948,936,949,932,949,937,944
931,947,936,949,931,949,936,944
932,948,936,949,931,947,936,944
931,947,934,946,932,946,936,944
931,947,935,946,932,948,936,944
932,947,936,949,931,948,936,945
932,948,935,948,931,948,936,944
932,947,934,949,931,948,936,944
932,948,935,948,932,948,936,944
932,947,935,949,932,949,936,944
932,947,935,949,932,948,936,944
932,947,935,949,931,948,935,944
931,947,935,949,930,947,936,944
931,947,935,947,931,948,936,944
930,947,934,949,932,948,935,944
932,948,934,948,930,948,936,943
931,949,935,948,932,948,936,944
932,947,935,948,931,948,935,944
932,948,934,948,930,948,936,944
931,947,935,948,932,948,937,944
932,948,935,948,932,948,936,945
932,948,935,948,931,948,935,944
932,948,935,949,930,948,936,944
932,948,935,947,930,948,936,944
931,947,936,948,930,948,936,944
932,947,934,948,931,948,935,944
932,948,934,948,930,948,936,944
932,947,935,948,932,948,936,944
932,948,935,948,931,948,936,944
932,947,934,948,931,948,936,944
932,947,935,948,931,948,936,944
932,947,935,948,932,948,935,944
932,947,935,949,930,948,935,944
931,947,934,948,930,948,935,944
932,948,935,947,931,947,936,944
932,947,935,948,931,947,935,944
932,948,935,948,930,948,936,944
932,948,935,948,931,948,935,944
932,947,935,948,931,948,936,944
931,947,935,948,931,948,936,944
932,947,935,948,932,948,935,944
932,947,935,948,931,948,935,944
931,947,935,948,930,948,935,944
932,947,935,949,931,948,935,944
931,947,935,948,930,948,935,944
932,947,935,948,930,948,937,944
932,948,935,948,931,947,936,944
932,948,935,948,931,947,935,944
932,948,935,948,931,948,936,944
932,949,935,948,932,948,935,944
932,948,935,948,931,948,936,944
932,948,935,948,931,948,935,944
931,946,934,948,931,948,935,944
932,947,935,948,930,948,935,943
933,948,934,949,930,947,935,944
931,948,935,948,929,947,935,943
932,948,935,947,929,947,937,944
931,947,935,948,930,948,935,943
932,947,935,949,931,948,935,944
932,948,935,948,931,948,935,944
932,948,935,948,931,948,936,943
932,948,935,948,931,949,935,944
932,946,935,948,930,947,935,944
932,947,935,948,930,947,935,943
932,947,933,948,931,948,935,942
931,947,934,948,930,947,935,942
931,947,935,948,932,948,936,943
932,949,934,948,931,948,935,943
932,948,935,948,930,947,935,944
932,948,935,948,931,948,935,943
932,948,935,948,931,948,936,943
932,949,935,948,930,948,935,944
932,946,935,948,932,948,935,943
932,948,935,948,930,948,935,944
932,947,934,947,932,947,935,943
930,947,935,947,932,948,935,944
932,947,934,947,930,947,935,943
931,947,934,948,930,947,935,945
932,947,934,946,932,948,935,943
932,947,935,947,930,949,935,943
931,949,935,948,931,948,935,944
932,946,935,948,931,949,936,944
